KEY,FREQ,CURRENCY,CURRENCY_DENOM,EXR_TYPE,EXR_SUFFIX,TIME_PERIOD,OBS_VALUE,OBS_STATUS,OBS_CONF,OBS_PRE_BREAK,OBS_COM,TIME_FORMAT,BREAKS,COLLECTION,COMPILING_ORG,DISS_ORG,DOM_SER_IDS,PUBL_ECB,PUBL_MU,PUBL_PUBLIC,UNIT_INDEX_BASE,COMPILATION,COVERAGE,DECIMALS,NAT_TITLE,SOURCE_AGENCY,SOURCE_PUB,TITLE,TITLE_COMPL,UNIT,UNIT_MULT
EXR.D.AUD.EUR.SP00.A,D,AUD,EUR,SP00,A,2026-08-10,1.6359,A,F,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,Australian dollar/Euro ECB reference exchange rate,"ECB reference exchange rate, Australian dollar/Euro, 2.15 pm (C.E.T.)",AUD,0
EXR.D.AUD.EUR.SP00.A,D,AUD,EUR,SP00,A,2026-08-11,1.6336,A,F,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,Australian dollar/Euro ECB reference exchange rate,"ECB reference exchange rate, Australian dollar/Euro, 2.15 pm (C.E.T.)",AUD,0
EXR.D.AUD.EUR.SP00.A,D,AUD,EUR,SP00,A,2026-08-12,1.6327,A,F,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,Australian dollar/Euro ECB reference exchange rate,"ECB reference exchange rate, Australian dollar/Euro, 2.15 pm (C.E.T.)",AUD,0
EXR.D.BRL.EUR.SP00.A,D,BRL,EUR,SP00,A,2026-08-10,5.8764,A,F,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,Brazilian real/Euro ECB reference exchange rate,"ECB reference exchange rate, Brazilian real/Euro, 2.15 pm (C.E.T.)",BRL,0
EXR.D.BRL.EUR.SP00.A,D,BRL,EUR,SP00,A,2026-08-11,5.891,A,F,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,Brazilian real/Euro ECB reference exchange rate,"ECB reference exchange rate, Brazilian real/Euro, 2.15 pm (C.E.T.)",BRL,0
EXR.D.BRL.EUR.SP00.A,D,BRL,EUR,SP00,A,2026-08-12,5.9523,A,F,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,Brazilian real/Euro ECB reference exchange rate,"ECB reference exchange rate, Brazilian real/Euro, 2.15 pm (C.E.T.)",BRL,0
EXR.D.CAD.EUR.SP00.A,D,CAD,EUR,SP00,A,2026-08-10,1.6108,A,F,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,Canadian dollar/Euro ECB reference exchange rate,"ECB reference exchange rate, Canadian dollar/Euro, 2.15 pm (C.E.T.)",CAD,0
EXR.D.CAD.EUR.SP00.A,D,CAD,EUR,SP00,A,2026-08-11,1.6084,A,F,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,Canadian dollar/Euro ECB reference exchange rate,"ECB reference exchange rate, Canadian dollar/Euro, 2.15 pm (C.E.T.)",CAD,0
EXR.D.CAD.EUR.SP00.A,D,CAD,EUR,SP00,A,2026-08-12,1.6077,A,F,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,Canadian dollar/Euro ECB reference exchange rate,"ECB reference exchange rate, Canadian dollar/Euro, 2.15 pm (C.E.T.)",CAD,0
