pair_id,event_contract,expiration_date,quantity,yes_price,no_price,pair_time
C1D6NXZFR07Q,UHBKF_082326_91,2026-08-24T02:00:00-05:00,50,0.49,0.51,2026-08-22T16:35:12.818426398-05:00
C1DR44TGE07Q,UHBKF_082326_91,2026-08-24T02:00:00-05:00,50,0.49,0.51,2026-08-22T18:35:23.927205185-05:00
C1EY89D6W07Q,UHBKF_082326_91,2026-08-24T02:00:00-05:00,10,0.52,0.48,2026-08-22T23:09:19.457151749-05:00
C1GBPZ9M807Q,ULATL_082326_73,2026-08-24T00:00:00-05:00,10,0.21,0.79,2026-08-23T01:09:30.672806203-05:00
C1GP2S06607Q,ULATL_082326_73,2026-08-24T00:00:00-05:00,10,0.15,0.85,2026-08-23T03:13:17.774262275-05:00
C1R8PPH7W07Q,HORC_1126_Republican,2027-01-04T15:00:00-06:00,2000,0.18,0.82,2026-08-23T08:34:03.90169434-05:00
C1R8PPJYG07Q,HORC_1126_Republican,2027-01-04T15:00:00-06:00,2750,0.19,0.81,2026-08-23T08:34:34.022716795-05:00
