STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,UNIT_MEASURE,Unit of measure,ACTIVITY,Economic activity,ADJUSTMENT,Adjustment,TRANSFORMATION,Transformation,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals,BASE_PER,Base period
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,CP,Consumer prices,GR,Growth rate,_Z,Not applicable,_Z,Not applicable,GY,"Growth rate, over 1 year",2026-04,,3.8108449321,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,CP,Consumer prices,GR,Growth rate,_Z,Not applicable,_Z,Not applicable,GY,"Growth rate, over 1 year",2026-05,,4.24867403916447,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,CP,Consumer prices,GR,Growth rate,_Z,Not applicable,_Z,Not applicable,GY,"Growth rate, over 1 year",2026-06,,3.53142506378641,,A,Normal value,0,Units,1,One,,
